id,name,subClass,class,quality
838,Heavy Weave Pants,Cloth,Armor,Common
839,Heavy Weave Gloves,Cloth,Armor,Common
840,Heavy Weave Shoes,Cloth,Armor,Common
841,Furlbrow's Pocket Watch,Quest,Quest,Common
843,Tanned Leather Boots,Leather,Armor,Common
844,Tanned Leather Gloves,Leather,Armor,Common
845,Tanned Leather Pants,Leather,Armor,Common
846,Tanned Leather Jerkin,Leather,Armor,Common
847,Chainmail Armor,Mail,Armor,Common
848,Chainmail Pants,Mail,Armor,Common
849,Chainmail Boots,Mail,Armor,Common
850,Chainmail Gloves,Mail,Armor,Common
851,Cutlass,Sword,Weapon,Common
852,Mace,Mace,Weapon,Common
853,Hatchet,Axe,Weapon,Common
854,Quarter Staff,Staff,Weapon,Common
856,Blue Leather Bag,Bag,Container,Common
857,Large Red Sack,Bag,Container,Common
858,Lesser Healing Potion,Potions,Consumable,Common
859,Fine Cloth Shirt,Miscellaneous,Armor,Uncommon
860,Cavalier's Boots,Cloth,Armor,Common
862,Runed Ring,Miscellaneous,Armor,Rare
863,Gloom Reaper,Axe,Weapon,Uncommon
864,Knightly Longsword,Sword,Weapon,Uncommon
865,Leaden Mace,Mace,Weapon,Uncommon
866,Monk's Staff,Staff,Weapon,Uncommon
867,Gloves of Holy Might,Leather,Armor,Epic
868,Ardent Custodian,Mace,Weapon,Epic
869,Dazzling Longsword,Sword,Weapon,Epic
870,Fiery War Axe,Axe,Weapon,Epic
871,Flurry Axe,Axe,Weapon,Epic
872,Rockslicer,Axe,Weapon,Rare
873,Staff of Jordan,Staff,Weapon,Epic
876,Worn Wooden Buckler,Shield,Armor,Common
878,Fist-Sized Spinneret,Junk,Miscellaneous,Poor
880,Staff of Horrors,Staff,Weapon,Uncommon
884,Ghoul Rib,Quest,Quest,Common
885,Black Metal Axe,Axe,Weapon,Uncommon
886,Black Metal Shortsword,Sword,Weapon,Uncommon
887,Pound of Flesh,Junk,Miscellaneous,Poor
888,Naga Battle Gloves,Leather,Armor,Rare
889,A Dusty Unsent Letter,Quest,Quest,Common
890,Twisted Chanter's Staff,Staff,Weapon,Rare
892,Gnoll Casting Gloves,Cloth,Armor,Uncommon
893,Dire Wolf Fang,Junk,Miscellaneous,Poor
895,Worgen Skull,Quest,Quest,Common
896,Worgen Fang,Quest,Quest,Common
897,Madwolf Bracers,Leather,Armor,Uncommon
899,Venom Web Fang,Dagger,Weapon,Uncommon
910,An Undelivered Letter,Quest,Quest,Common
911,Ironwood Treebranch,Mace,Weapon,Uncommon
914,Large Ogre Chain Armor,Mail,Armor,Uncommon
915,Red Silk Bandana,Quest,Quest,Common
916,A Torn Journal Page,Quest,Quest,Common
918,Deviate Hide Pack,Bag,Container,Common
920,Wicked Spiked Mace,Mace,Weapon,Uncommon
921,A Faded Journal Page,Quest,Quest,Common
922,Dacian Falx,Sword,Weapon,Common
923,Longsword,Sword,Weapon,Common
924,Maul,Mace,Weapon,Common
925,Flail,Mace,Weapon,Common
926,Battle Axe,Axe,Weapon,Common
927,Double Axe,Axe,Weapon,Common
928,Long Staff,Staff,Weapon,Common
929,Healing Potion,Potions,Consumable,Common
932,Fel Steed Saddlebags,Bag,Container,Common
933,Large Rucksack,Bag,Container,Common
934,Stalvan's Reaper,Axe,Weapon,Rare
935,Night Watch Shortsword,Sword,Weapon,Rare
936,Midnight Mace,Mace,Weapon,Rare
937,Black Duskwood Staff,Staff,Weapon,Rare
938,Muddy Journal Pages,Quest,Quest,Common
939,A Bloodstained Journal Page,Quest,Quest,Common
940,Robes of Insight,Cloth,Armor,Epic
942,Freezing Band,Miscellaneous,Armor,Epic
943,Warden Staff,Staff,Weapon,Epic
944,Elemental Mage Staff,Staff,Weapon,Epic
954,Scroll of Strength,Other,Consumable,Common
955,Scroll of Intellect,Other,Consumable,Common
957,William's Shipment,Quest,Quest,Common
961,Healing Herb,Food & Drink,Consumable,Common
962,Pork Belly Pie,Quest,Quest,Common
981,Bernice's Necklace,Quest,Quest,Common
983,Red Linen Sash,Cloth,Armor,Uncommon
994,Tome of Ice Armor,Book,Recipe,Common
1006,Brass Collar,Quest,Quest,Common
1008,Well-Used Sword,Sword,Weapon,Common
1009,Compact Hammer,Mace,Weapon,Uncommon
1010,Gnarled Short Staff,Staff,Weapon,Common
1011,Sharp Axe,Axe,Weapon,Common
1013,Iron Rivet,Quest,Quest,Common
1015,Lean Wolf Flank,Cooking,Tradeskill,Common
1017,Seasoned Wolf Kabob,Food & Drink,Consumable,Common
1019,Linen Scrap,Quest,Quest,Common
1072,Full Moonshine,Food & Drink,Consumable,Common
1074,Hard Spider Leg Tip,Junk,Miscellaneous,Poor
1075,Shadowhide Pendant,Quest,Quest,Common
1076,Defias Renegade Ring,Miscellaneous,Armor,Uncommon
1077,Defias Mage Ring,Miscellaneous,Armor,Uncommon
1080,Tough Condor Meat,Cooking,Tradeskill,Common
1081,Crisp Spider Meat,Junk,Miscellaneous,Poor
1082,Redridge Goulash,Food & Drink,Consumable,Common
1083,Glyph of Azora,Quest,Quest,Common
1113,Conjured Bread,Food & Drink,Consumable,Common
1114,Conjured Rye,Food & Drink,Consumable,Common
1116,Ring of Pure Silver,Miscellaneous,Armor,Uncommon
1121,Feet of the Lynx,Leather,Armor,Rare
1127,Flash Bundle,Other,Consumable,Common
1129,Ghoul Fang,Quest,Quest,Common
1130,Vial of Spider Venom,Quest,Quest,Common
1131,Totem of Infliction,Miscellaneous,Armor,Uncommon
1132,Horn of the Timber Wolf,Mount,Miscellaneous,Rare
1154,Belt of the People's Militia,Mail,Armor,Common
1155,Rod of the Sleepwalker,Staff,Weapon,Rare
1156,Lavishly Jeweled Ring,Miscellaneous,Armor,Rare
1158,Solid Metal Club,Mace,Weapon,Uncommon
1159,Militia Quarterstaff,Staff,Weapon,Common
1161,Militia Shortsword,Sword,Weapon,Common
1167,Small Targe,Shield,Armor,Common
1168,Skullflame Shield,Shield,Armor,Epic
1169,Blackskull Shield,Shield,Armor,Epic
1171,Well-Stitched Robe,Cloth,Armor,Uncommon
1172,Grayson's Torch,Miscellaneous,Armor,Uncommon
1173,Weather-Worn Boots,Leather,Armor,Common
1175,A Gold Tooth,Junk,Miscellaneous,Poor
1177,Oil of Olaf,Other,Consumable,Common
1178,Explosive Rocket,Other,Consumable,Common
1179,Ice Cold Milk,Food & Drink,Consumable,Common
1180,Scroll of Stamina,Other,Consumable,Common
1181,Scroll of Versatility,Other,Consumable,Common
1182,Brass-Studded Bracers,Plate,Armor,Common
1183,Elastic Wristguards,Cloth,Armor,Uncommon
1187,Spiked Collar,Other,Consumable,Uncommon
1189,Overseer's Ring,Miscellaneous,Armor,Uncommon
1190,Overseer's Cloak,Cloth,Armor,Uncommon
1191,Bag of Marbles,Other,Consumable,Common
1194,Bastard Sword,Sword,Weapon,Common
1195,Kobold Mining Shovel,Mace,Weapon,Common
1196,Tabar,Axe,Weapon,Common
1197,Giant Mace,Mace,Weapon,Common
1198,Claymore,Sword,Weapon,Common
1200,Large Wooden Shield,Shield,Armor,Common
1201,Dull Heater Shield,Shield,Armor,Common
1202,Wall Shield,Shield,Armor,Common
1203,Aegis of Stormwind,Shield,Armor,Rare
1204,The Green Tower,Shield,Armor,Epic
1205,Melon Juice,Food & Drink,Consumable,Common
1206,Moss Agate,Jewelcrafting,Tradeskill,Uncommon
1207,Murphstar,Mace,Weapon,Uncommon
1208,Maybell's Love Letter,Quest,Quest,Common
1210,Shadowgem,Jewelcrafting,Tradeskill,Uncommon
1211,Gnoll War Harness,Leather,Armor,Uncommon
1212,Gnoll Spittle,Junk,Miscellaneous,Poor
1213,Gnoll Kindred Bracers,Leather,Armor,Common
1214,Gnoll Punisher,Mace,Weapon,Uncommon
1215,Support Girdle,Leather,Armor,Uncommon
1218,Heavy Gnoll War Club,Mace,Weapon,Uncommon
1219,Redridge Machete,Sword,Weapon,Uncommon
1220,Lupine Axe,Axe,Weapon,Uncommon
1221,Underbelly Whelp Scale,Quest,Quest,Common
1222,Broken Tooth,Junk,Miscellaneous,Poor
1251,Linen Bandage,Bandages,Consumable,Common
1252,Gramma Stonefield's Note,Quest,Quest,Common
1256,Crystal Kelp Frond,Quest,Quest,Common
1257,Invisibility Liquor,Quest,Quest,Common
1260,Tharil'zun's Head,Quest,Quest,Common
1261,Midnight Orb,Quest,Quest,Common
1262,Keg of Thunderbrew Lager,Other,Consumable,Common
1263,Brain Hacker,Axe,Weapon,Epic
1264,Headbasher,Mace,Weapon,Uncommon
1265,Scorpion Sting,Sword,Weapon,Rare
1270,Finely Woven Cloak,Cloth,Armor,Uncommon
1273,Forest Chain,Mail,Armor,Uncommon
1274,Hops,Quest,Quest,Poor
1275,Deputy Chain Coat,Mail,Armor,Uncommon
1276,Fire Hardened Buckler,Shield,Armor,Uncommon
1280,Cloaked Hood,Leather,Armor,Uncommon
1282,Sparkmetal Coif,Plate,Armor,Uncommon
1283,Verner's Note,Quest,Quest,Common
1284,Crate of Horseshoes,Quest,Quest,Common
1287,Giant Tarantula Fang,Dagger,Weapon,Uncommon
1288,Large Venom Sac,Other,Tradeskill,Common
1292,Butcher's Cleaver,Axe,Weapon,Rare
1293,The State of Lakeshire,Quest,Quest,Common
1294,The General's Response,Quest,Quest,Common
1296,Blackrock Mace,Mace,Weapon,Uncommon
1297,Robes of the Shadowcaster,Cloth,Armor,Uncommon
1299,Lesser Belt of the Spire,Cloth,Armor,Uncommon
1300,Lesser Staff of the Spire,Staff,Weapon,Uncommon
1302,Black Whelp Gloves,Leather,Armor,Uncommon
1303,Bridgeworker's Gloves,Plate,Armor,Uncommon
1304,Riding Gloves,Cloth,Armor,Uncommon
1306,Wolfmane Wristguards,Leather,Armor,Uncommon
1307,Gold Pickup Schedule,Quest,Quest,Common
1309,Oslow's Toolbox,Quest,Quest,Common
1310,Smith's Trousers,Leather,Armor,Uncommon
1314,Ghoul Fingers,Leather,Armor,Uncommon
1315,Lei of Lilies,Miscellaneous,Armor,Epic
1317,Hardened Root Staff,Staff,Weapon,Uncommon
1318,Night Reaver,Axe,Weapon,Rare
1319,Ring of Iron Will,Miscellaneous,Armor,Uncommon
1322,Fishliver Oil,Other,Consumable,Common
1325,Daffodil Bouquet,Quest,Quest,Common
1326,Sauteed Sunfish,Food & Drink,Consumable,Common
1327,Wiley's Note,Quest,Quest,Common
1349,Abercrombie's Crate,Quest,Quest,Common
1351,Fingerbone Bracers,Cloth,Armor,Uncommon
1353,Shaw's Report,Quest,Quest,Common
1355,Buckskin Cape,Cloth,Armor,Uncommon
1356,Commendation - Elwynn Forest,Quest,Quest,Common
1357,Captain Sanders' Treasure Map,Quest,Quest,Common
1358,A Clue to Sanders' Treasure,Quest,Quest,Common
1359,Lion-Stamped Gloves,Leather,Armor,Common
1360,Stormwind Plate Gloves,Plate,Armor,Uncommon
1361,Another Clue to Sanders' Treasure,Quest,Quest,Common
1362,Final Clue to Sanders' Treasure,Quest,Quest,Common
1364,Ragged Leather Vest,Leather,Armor,Poor
1366,Ragged Leather Pants,Leather,Armor,Poor
1367,Ragged Leather Boots,Leather,Armor,Poor
1368,Ragged Leather Gloves,Leather,Armor,Poor
1369,Ragged Leather Belt,Leather,Armor,Poor
1370,Ragged Leather Bracers,Leather,Armor,Poor
1372,Ragged Cloak,Cloth,Armor,Poor
1374,Frayed Shoes,Cloth,Armor,Poor
1376,Frayed Cloak,Cloth,Armor,Poor
1377,Frayed Gloves,Cloth,Armor,Poor
1378,Frayed Pants,Cloth,Armor,Poor
1380,Frayed Robe,Cloth,Armor,Poor
1381,A Mysterious Message,Quest,Quest,Common
1382,Rock Mace,Mace,Weapon,Common
1383,Stone Tomahawk,Axe,Weapon,Common
1384,Dull Blade,Sword,Weapon,Common
1386,Thistlewood Axe,Axe,Weapon,Common
1387,Ghoulfang,Sword,Weapon,Uncommon
1388,Crooked Staff,Staff,Weapon,Common
1389,Kobold Mining Mallet,Mace,Weapon,Common
1391,Riverpaw Mystic Staff,Staff,Weapon,Uncommon
1394,Driftwood Club,Mace,Weapon,Uncommon
1395,Apprentice's Pants,Cloth,Armor,Common
1396,Acolyte's Pants,Cloth,Armor,Common
1399,Magic Candle,Other,Consumable,Common
1401,Riverpaw Tea Leaf,Food & Drink,Consumable,Common
1404,Tidal Charm,Miscellaneous,Armor,Uncommon
1405,Foamspittle Staff,Staff,Weapon,Uncommon
1406,Pearl-Encrusted Spear,Polearm,Weapon,Uncommon
1407,Solomon's Plea to Westfall,Quest,Quest,Common
1408,Stoutmantle's Response to Solomon,Quest,Quest,Common
1409,Solomon's Plea to Darkshire,Quest,Quest,Common
1410,Ebonlocke's Response to Solomon,Quest,Quest,Common
1411,Withered Staff,Staff,Weapon,Poor
1412,Crude Bastard Sword,Sword,Weapon,Poor
1413,Feeble Sword,Sword,Weapon,Poor
1414,Cracked Sledge,Mace,Weapon,Poor
1415,Carpenter's Mallet,Mace,Weapon,Poor
1416,Rusty Hatchet,Axe,Weapon,Poor
1417,Beaten Battle Axe,Axe,Weapon,Poor
1418,Worn Leather Belt,Leather,Armor,Poor
1419,Worn Leather Boots,Leather,Armor,Poor
1420,Worn Leather Bracers,Leather,Armor,Poor
1421,Worn Hide Cloak,Cloth,Armor,Poor
1422,Worn Leather Gloves,Leather,Armor,Poor
1423,Worn Leather Pants,Leather,Armor,Poor
1425,Worn Leather Vest,Leather,Armor,Poor
1427,Patchwork Shoes,Cloth,Armor,Poor
1429,Patchwork Cloak,Cloth,Armor,Poor
1430,Patchwork Gloves,Cloth,Armor,Poor
1431,Patchwork Pants,Cloth,Armor,Poor
1433,Patchwork Armor,Cloth,Armor,Poor
1434,Glowing Wax Stick,Other,Consumable,Common
1436,Frontier Britches,Leather,Armor,Uncommon
1438,Warrior's Shield,Shield,Armor,Common
1440,Gnoll Skull Basher,Mace,Weapon,Uncommon
1443,Jeweled Amulet of Cainwyn,Miscellaneous,Armor,Epic
1445,Blackrock Pauldrons,Mail,Armor,Common
1446,Blackrock Boots,Mail,Armor,Uncommon
1447,Ring of Saviors,Miscellaneous,Armor,Epic
1448,Blackrock Gauntlets,Mail,Armor,Uncommon
1449,Minor Channeling Ring,Miscellaneous,Armor,Uncommon
1450,Potion of Fervor,Potions,Consumable,Poor
1451,Bottle of Zombie Juice,Quest,Quest,Common
1453,Spectral Comb,Quest,Quest,Common
1454,Axe of the Enforcer,Axe,Weapon,Rare
1455,Blackrock Champion's Axe,Axe,Weapon,Uncommon
1457,Shadowhide Mace,Mace,Weapon,Uncommon
1458,Shadowhide Maul,Mace,Weapon,Uncommon
1459,Shadowhide Scalper,Axe,Weapon,Uncommon
1460,Shadowhide Two-Handed Sword,Sword,Weapon,Uncommon
1461,Slayer's Battle Axe,Axe,Weapon,Uncommon
1462,Ring of the Shadow,Miscellaneous,Armor,Uncommon
1464,Buzzard Talon,Junk,Miscellaneous,Poor
1465,Tigerbane,Dagger,Weapon,Uncommon
1467,Spotted Sunfish,Quest,Quest,Common
1468,Murloc Fin,Cooking,Tradeskill,Common
1469,Scimitar of Atun,Sword,Weapon,Uncommon
1470,Murloc Skin Bag,Bag,Container,Common
1473,Riverside Staff,Staff,Weapon,Uncommon
1475,Small Venom Sac,Other,Tradeskill,Common
1476,Snapped Spider Limb,Junk,Miscellaneous,Poor
1477,Scroll of Agility II,Other,Consumable,Common
1478,Scroll of Protection II,Other,Consumable,Common
1479,Salma's Oven Mitts,Cloth,Armor,Common
1480,Fist of the People's Militia,Mace,Weapon,Uncommon
1481,Grimclaw,Axe,Weapon,Rare
1482,Shadowfang,Sword,Weapon,Rare
1483,Face Smasher,Mace,Weapon,Rare
1484,Witching Stave,Staff,Weapon,Rare
1485,Pitchfork,Polearm,Weapon,Poor
1486,Tree Bark Jacket,Cloth,Armor,Rare
1487,Conjured Pumpernickel,Food & Drink,Consumable,Common
1488,Avenger's Armor,Mail,Armor,Rare
1489,Gloomshroud Armor,Leather,Armor,Rare
1490,Guardian Talisman,Miscellaneous,Armor,Uncommon
1491,Ring of Precision,Miscellaneous,Armor,Rare
1493,Heavy Marauder Scimitar,Sword,Weapon,Rare
1495,Calico Shoes,Cloth,Armor,Poor
1497,Calico Cloak,Cloth,Armor,Poor
1498,Calico Gloves,Cloth,Armor,Poor
1499,Calico Pants,Cloth,Armor,Poor
1501,Calico Tunic,Cloth,Armor,Poor
1502,Warped Leather Belt,Leather,Armor,Poor
1503,Warped Leather Boots,Leather,Armor,Poor
1504,Warped Leather Bracers,Leather,Armor,Poor
1505,Warped Cloak,Cloth,Armor,Poor
1506,Warped Leather Gloves,Leather,Armor,Poor
1507,Warped Leather Pants,Leather,Armor,Poor
1509,Warped Leather Vest,Leather,Armor,Poor
1510,Heavy Hammer,Mace,Weapon,Poor
1511,Commoner's Sword,Sword,Weapon,Poor
1512,Crude Battle Axe,Axe,Weapon,Poor
1513,Old Greatsword,Sword,Weapon,Poor
1514,Rusty Warhammer,Mace,Weapon,Poor
1515,Rough Wooden Staff,Staff,Weapon,Poor
1516,Worn Hatchet,Axe,Weapon,Poor
1518,Ghost Hair Comb,Quest,Quest,Common
1519,Bloodscalp Ear,Quest,Quest,Common
1520,Troll Sweat,Junk,Miscellaneous,Poor
1521,Lumbering Ogre Axe,Axe,Weapon,Uncommon
1522,Headhunting Spear,Polearm,Weapon,Uncommon
1523,Huge Stone Club,Mace,Weapon,Uncommon
1524,Skullsplitter Tusk,Quest,Quest,Common
1528,Handful of Oats,Quest,Quest,Common
1529,Jade,Jewelcrafting,Tradeskill,Uncommon
1532,Shrunken Head,Quest,Quest,Common
1537,Old Blanchy's Feed Pouch,Bag,Container,Common
1539,Gnarled Hermit's Staff,Staff,Weapon,Uncommon
1547,Shield of the Faith,Shield,Armor,Uncommon
1557,Buckler of the Seas,Shield,Armor,Uncommon
1560,Bluegill Sandals,Cloth,Armor,Uncommon
1561,Harvester's Robe,Cloth,Armor,Uncommon
1566,Edge of the People's Militia,Sword,Weapon,Uncommon
1596,Ghost Hair Thread,Quest,Quest,Common
1598,Rot Blossom,Quest,Quest,Common
1602,Sickle Axe,Axe,Weapon,Rare
1604,Chromatic Sword,Sword,Weapon,Uncommon
1607,Soulkeeper,Staff,Weapon,Rare
1608,Skullcrusher Mace,Mace,Weapon,Uncommon
1613,Spiritchaser Staff,Staff,Weapon,Uncommon
1624,Skullsplitter Helm,Mail,Armor,Uncommon
1625,Exquisite Flamberge,Sword,Weapon,Uncommon
1630,Broken Electro-Lantern,Junk,Miscellaneous,Poor
1637,Letter to Ello,Quest,Quest,Common
1639,Grinning Axe,Axe,Weapon,Uncommon
1640,Monstrous War Axe,Axe,Weapon,Uncommon
1645,Moonberry Juice,Food & Drink,Consumable,Common
1652,Sturdy Lunchbox,Bag,Container,Common
1656,Translated Letter,Quest,Quest,Common
1659,Engineering Gloves,Cloth,Armor,Uncommon
1664,Spellforce Rod,Staff,Weapon,Uncommon
1677,Drake-Scale Vest,Mail,Armor,Uncommon
1678,Black Ogre Kickers,Mail,Armor,Rare
1679,Korg Bat,Mace,Weapon,Uncommon
1680,Headchopper,Axe,Weapon,Uncommon
1685,Troll-Hide Bag,Bag,Container,Common
1686,Bristly Whisker,Junk,Miscellaneous,Poor
1687,Retractable Claw,Junk,Miscellaneous,Poor
1688,Long Soft Tail,Junk,Miscellaneous,Poor
1696,Curved Raptor Talon,Junk,Miscellaneous,Poor
1697,Keen Raptor Tooth,Junk,Miscellaneous,Poor
1701,Curved Basilisk Claw,Junk,Miscellaneous,Poor
1702,Intact Basilisk Spine,Junk,Miscellaneous,Poor
1703,Crystal Basilisk Spine,Junk,Miscellaneous,Uncommon
1705,Lesser Moonstone,Jewelcrafting,Tradeskill,Uncommon
1706,Azuredeep Shards,Junk,Miscellaneous,Poor
1707,Stormwind Brie,Food & Drink,Consumable,Common
1708,Sweet Nectar,Food & Drink,Consumable,Common
1710,Greater Healing Potion,Potions,Consumable,Common
1711,Scroll of Stamina II,Other,Consumable,Common
1712,Scroll of Versatility II,Other,Consumable,Common
1713,Ankh of Life,Miscellaneous,Armor,Rare
1714,Necklace of Calisea,Miscellaneous,Armor,Rare
1715,Polished Jazeraint Armor,Mail,Armor,Rare
1716,Robe of the Magi,Cloth,Armor,Rare
1717,Double Link Tunic,Mail,Armor,Rare
1718,Basilisk Hide Pants,Leather,Armor,Rare
1720,Tanglewood Staff,Staff,Weapon,Rare
1721,Viking Warhammer,Mace,Weapon,Rare
1722,Thornstone Sledgehammer,Mace,Weapon,Rare
1725,Large Knapsack,Bag,Container,Common
1726,Poison-Tipped Bone Spear,Polearm,Weapon,Rare
